lot_id,line_num,Symbol,Q,Qori,Lot_Time,adj_price,adj_basis,OCE,Start_Time,How,foreign_id,Cost_Price,Cost_Basis,end_time,inputLine,L_codes,Codes,Account,Multi,LS,SecType,Underlying,Expiry,Strike,O_Type,Notes
1,1,WFT,100,100,2011-03-11 12:57:34,20.9787,2097.87,E,2011-03-11 12:57:34,I,0,20.9787,2097.87,2013-01-15 09:43:07,1,I,,IB9048,1,L,S,WFT,,0,,
1,2,WFT,0,100,2011-03-11 12:57:34,20.9787,0,C,2013-01-15 09:43:07,T,85.01,20.9787,2097.87,2013-01-15 09:43:07,1,I,,IB9048,1,L,S,WFT,,0,,
2,1,WFT,500,500,2011-03-11 12:57:53,20.982203,10491.1,E,2011-03-11 12:57:53,I,0,20.982203,10491.1,2013-01-14 09:42:05,2,I,,IB9048,1,L,S,WFT,,0,,
2,2,WFT,0,500,2011-03-11 12:57:53,20.982203,0,C,2013-01-14 09:42:05,T,73.01,20.982203,10491.1,2013-01-14 09:42:05,2,I,,IB9048,1,L,S,WFT,,0,,
3,1,GMO,100,100,2011-03-11 13:13:28,5.018206,501.82,O,2011-03-11 13:13:28,I,0,5.018206,501.82,,3,I,,IB9048,1,L,S,GMO,,0,,
4,1,GMO,100,100,2011-03-11 13:13:28,5.0132,501.32,O,2011-03-11 13:13:28,I,0,5.0132,501.32,,4,I,,IB9048,1,L,S,GMO,,0,,
5,1,GMO,100,100,2011-03-11 13:13:28,5.016703,501.67,O,2011-03-11 13:13:28,I,0,5.016703,501.67,,5,I,,IB9048,1,L,S,GMO,,0,,
6,1,GMO,100,100,2011-03-11 13:13:28,5.016503,501.65,O,2011-03-11 13:13:28,I,0,5.016503,501.65,,6,I,,IB9048,1,L,S,GMO,,0,,
7,1,GMO,100,100,2011-03-11 13:13:28,5.016703,501.67,O,2011-03-11 13:13:28,I,0,5.016703,501.67,,7,I,,IB9048,1,L,S,GMO,,0,,
8,1,GMO,100,100,2011-03-11 13:13:28,5.016703,501.67,O,2011-03-11 13:13:28,I,0,5.016703,501.67,,8,I,,IB9048,1,L,S,GMO,,0,,
9,1,GMO,100,100,2011-03-11 13:13:28,5.016703,501.67,O,2011-03-11 13:13:28,I,0,5.016703,501.67,,9,I,,IB9048,1,L,S,GMO,,0,,
10,1,GMO,100,100,2011-03-11 13:13:28,5.014703,501.47,O,2011-03-11 13:13:28,I,0,5.014703,501.47,,10,I,,IB9048,1,L,S,GMO,,0,,
11,1,GMO,300,300,2011-03-11 13:13:28,5.016703,1505.01,O,2011-03-11 13:13:28,I,0,5.016703,1505.01,,11,I,,IB9048,1,L,S,GMO,,0,,
12,1,GMO,400,400,2011-03-11 13:13:28,5.016503,2006.6,O,2011-03-11 13:13:28,I,0,5.016503,2006.6,,12,I,,IB9048,1,L,S,GMO,,0,,
13,1,GMO,500,500,2011-03-11 13:13:28,5.016703,2508.35,O,2011-03-11 13:13:28,I,0,5.016703,2508.35,,13,I,,IB9048,1,L,S,GMO,,0,,
14,1,CIM,500,500,2011-03-11 14:05:38,4.164203,2082.1,E,2011-03-11 14:05:38,I,0,4.164203,2082.1,2013-03-07 13:02:42,14,I,,IB9048,1,L,S,CIM,,0,,
14,2,CIM,100,500,2011-03-11 14:05:38,4.2842,428.42,E,2013-03-07 13:02:42,T,414.01,20.821,2082.1,2013-04-26 10:00:16,14,I,,IB9048,1,L,S,CIM,,0,,
14,3,CIM,0,500,2011-03-11 14:05:38,4.2842,15,C,2013-04-26 10:00:16,T,708.01,20.821,2082.1,2013-04-26 10:00:16,14,I,,IB9048,1,L,S,CIM,,0,,
15,1,CIM,1600,1600,2011-03-11 14:05:38,4.162303,6659.68,E,2011-03-11 14:05:38,I,0,4.162303,6659.68,2013-01-15 12:26:43,15,I,,IB9048,1,L,S,CIM,,0,,
15,2,CIM,1400,1600,2011-03-11 14:05:38,4.166586,5833.22,E,2013-01-15 12:26:43,T,94.01,4.756914,6659.68,2013-02-01 15:47:16,15,I,,IB9048,1,L,S,CIM,,0,,
15,3,CIM,1200,1600,2011-03-11 14:05:38,4.1723,5006.76,E,2013-02-01 15:47:16,T,210.01,5.549733,6659.68,2013-02-01 15:47:23,15,I,,IB9048,1,L,S,CIM,,0,,
15,4,CIM,1000,1600,2011-03-11 14:05:38,4.1803,4180.3,E,2013-02-01 15:47:23,T,211.01,6.65968,6659.68,2013-04-26 10:00:16,15,I,,IB9048,1,L,S,CIM,,0,,
15,5,CIM,700,1600,2011-03-11 14:05:38,4.200871,2940.61,E,2013-04-26 10:00:16,T,708.02,9.513829,6659.68,2013-04-29 10:18:36,15,I,,IB9048,1,L,S,CIM,,0,,
15,6,CIM,300,1600,2011-03-11 14:05:38,4.2923,1287.69,O,2013-04-29 10:18:36,T,717.01,22.198933,6659.68,,15,I,,IB9048,1,L,S,CIM,,0,,
16,1,NVDA,100,100,2011-03-15 10:07:24,17.356703,1735.67,O,2011-03-15 10:07:24,I,0,17.356703,1735.67,,16,I,,IB9048,1,L,S,NVDA,,0,,
17,1,NVDA,100,100,2011-03-15 10:07:24,17.356703,1735.67,O,2011-03-15 10:07:24,I,0,17.356703,1735.67,,17,I,,IB9048,1,L,S,NVDA,,0,,
18,1,NVDA,100,100,2011-03-15 10:07:24,17.356703,1735.67,O,2011-03-15 10:07:24,I,0,17.356703,1735.67,,18,I,,IB9048,1,L,S,NVDA,,0,,
19,1,NVDA,200,200,2011-03-15 10:07:24,17.356703,3471.34,O,2011-03-15 10:07:24,I,0,17.356703,3471.34,,19,I,,IB9048,1,L,S,NVDA,,0,,
20,1,NVDA,300,300,2011-03-15 10:07:24,17.356703,5207.01,O,2011-03-15 10:07:24,I,0,17.356703,5207.01,,20,I,,IB9048,1,L,S,NVDA,,0,,
21,1,TRQ,145,145,2011-03-28 09:40:22,27.084703,3927.28,E,2011-03-28 09:40:22,I,0,27.084703,3927.28,2013-01-07 11:02:03,21,I,,IB9048,1,L,S,TRQ,,0,,
21,2,TRQ,0,145,2011-03-28 09:40:22,27.084703,0,C,2013-01-07 11:02:03,T,33.01,27.084703,3927.28,2013-01-07 11:02:03,21,I,,IB9048,1,L,S,TRQ,,0,,
22,1,AMAT 19JAN13 15.0 P,-9,-9,2011-04-01 15:44:50,2.536455,-2282.81,E,2011-04-01 15:44:50,I,0,2.536455,-2282.81,2013-01-18 16:20:00,22,I,,IB9048,100,S,O,AMAT,2013-01-19,15,P,
22,2,AMAT 19JAN13 15.0 P,0,-9,2011-04-01 15:44:50,2.536455,0,C,2013-01-18 16:20:00,T,130.01,2.536455,-2282.81,2013-01-18 16:20:00,22,I,,IB9048,100,S,O,AMAT,2013-01-19,15,P,
23,1,AMAT 19JAN13 15.0 P,-6,-6,2011-04-01 15:44:50,2.536455,-1521.87,E,2011-04-01 15:44:50,I,0,2.536455,-1521.87,2013-01-18 16:20:00,23,I,,IB9048,100,S,O,AMAT,2013-01-19,15,P,
23,2,AMAT 19JAN13 15.0 P,0,-6,2011-04-01 15:44:50,2.536455,0,C,2013-01-18 16:20:00,T,130.02,2.536455,-1521.87,2013-01-18 16:20:00,23,I,,IB9048,100,S,O,AMAT,2013-01-19,15,P,
24,1,GM 19JAN13 30.0 P,-6,-6,2011-04-04 15:16:24,3.992855,-2395.71,E,2011-04-04 15:16:24,I,0,3.992855,-2395.71,2013-01-18 16:20:00,24,I,,IB9048,100,S,O,GM,2013-01-19,30,P,
24,2,GM 19JAN13 30.0 P,0,-6,2011-04-04 15:16:24,3.992855,0.01,C,2013-01-18 16:20:00,T,146.01,3.992855,-2395.71,2013-01-18 16:20:00,24,I,,IB9048,100,S,O,GM,2013-01-19,30,P,
25,1,GM 19JAN13 30.0 P,-4,-4,2011-04-04 15:16:24,3.992855,-1597.14,E,2011-04-04 15:16:24,I,0,3.992855,-1597.14,2013-01-18 16:20:00,25,I,,IB9048,100,S,O,GM,2013-01-19,30,P,
25,2,GM 19JAN13 30.0 P,0,-4,2011-04-04 15:16:24,3.992855,0,C,2013-01-18 16:20:00,T,146.02,3.992855,-1597.14,2013-01-18 16:20:00,25,I,,IB9048,100,S,O,GM,2013-01-19,30,P,
26,1,DOW,100,100,2011-04-15 10:29:41,37.464603,3746.46,O,2011-04-15 10:29:41,I,0,37.464603,3746.46,,26,I,,IB9048,1,L,S,DOW,,0,,
27,1,DOW,200,200,2011-04-15 10:29:41,37.464703,7492.94,O,2011-04-15 10:29:41,I,0,37.464703,7492.94,,27,I,,IB9048,1,L,S,DOW,,0,,
